Religious,founded1,religious_affiliation,founded2
Assemblies of God,1889,Non-sectarian,1902
Christian,1889,Non-sectarian,1902
Evangelical,1889,Non-sectarian,1902
United Methodist,1889,Secular,1903
Catholic,1889,Non-sectarian,1903
Episcopal,1889,Non-sectarian,1903
Evangelical,1889,Non-sectarian,1903
Methodist,1889,Secular,1903
Catholic,1889,Non-sectarian,1903
Southern Baptist,1889,Non-sectarian,1903
Catholic,1889,Non-sectarian,1903
Baptist,1889,Non-sectarian,1903
Evangelical Lutheran Church in America,1889,Secular,1903
Christian,1890,Non-sectarian,1903
Christian,1890,Non-sectarian,1903
Baptist,1890,Secular,1904
Methodist,1890,Non-sectarian,1904
Catholic,1890,Secular,1904
Christian,1890,Non-sectarian,1904
Evangelical Christian,1890,Non-sectarian,1904
Catholic,1890,Non-sectarian,1904
Christian,1890,Non-sectarian,1904
Christian,1890,Non-sectarian,1904
Christian,1890,Non-sectarian,1904
Catholic,1890,Non-sectarian,1905
Baptist,1890,Non-sectarian,1905
Christian,1890,Secular,1905
Methodist,1890,Non-sectarian,1905
Christian,1890,Non-sectarian,1905
Catholic,1890,Non-sectarian,1905
Christian,1890,Non-sectarian,1906
Catholic,1890,Non-sectarian,1906
Christian,1890,Non-sectarian,1906
Evangelical Christian,1890,Non-sectarian,1906
Christian,1890,Non-sectarian,1906
Christian,1891,Non-sectarian,1906
Baptist Christian,1891,Secular,1906
Baptist Christian,1891,Non-sectarian,1907
Baptist Christian,1891,Non-sectarian,1908
Roman Catholic     ,1891,Non-sectarian,1908
Catholic,1891,Non-sectarian,1908
Catholic,1891,Non-sectarian,1908
Presbyterian,1891,Non-sectarian,1908
Nondenominational,1891,Non-sectarian,1908
Nondenominational,1891,Non-sectarian,1908
Jewish,1891,Non-sectarian,1908
Christian,1891,Non-sectarian,1908
Catholic,1891,Non-sectarian,1908
Christian Church (Disciples of Christ),1891,Non-sectarian,1908
Christian,1891,Non-sectarian,1908
Catholic,1891,Non-sectarian,1909
Lutheran,1891,Non-sectarian,1909
Catholic,1891,Nonsectarian,1909
Catholic,1891,Non-sectarian,1910
Lutheran,1891,Non-sectarian,1910
United Church of Christ,1891,Non-sectarian,1910
Roman Catholic (De La Salle Brothers),1892,Non-sectarian,1910
Christian,1892,Non-sectarian,1911
Catholic,1892,Non-sectarian,1911
Catholic,1892,Non-sectarian,1911
Muslims,1892,Secularism,1912
Roman Catholic Church,1892,Non-sectarian,1912
Roman Catholic Church,1892,Non-sectarian,1912
Christian,1892,Non-sectarian,1912
Catholic,1892,Non-sectarian,1912
Catholic,1892,Non-sectarian,1912
Roman Catholic,1892,Secular,1913
Catholic,1892,Non-sectarian,1914
Evangelical Lutheran Church in America,1892,Non-sectarian,1915
Baptist ,1892,Non-sectarian,1915
Christian,1893,Non-sectarian,1916
Catholic,1893,Non-sectarian,1916
Baptist,1893,Non-sectarian,1916
Christian,1893,Secular,1917
Christian,1893,Secular,1917
Christian,1893,Non-sectarian,1917
Christian,1893,Non-sectarian,1917
Jewish,1893,Non-sectarian,1917
Baptist,1893,Non-sectarian,1917
Catholic,1894,Non-sectarian,1917
Christian,1894,Non-sectarian,1917
Christian,1894,Non-sectarian,1917
Christian,1894,Non-sectarian,1917
"United Church of Christ, United Methodist Church, Disciples of Christ",1894,Non-sectarian,1917
African Methodist Episcopal Church (AME Church),1894,Non-sectarian,1918
Catholic,1894,Non-sectarian,1918
Reformed Church in America,1894,Non-sectarian,1918
Nondenominational,1895,Secular,1918
Methodist,1895,Non-sectarian,1918
Christian,1895,Non-sectarian,1918
United Methodist Church,1895,Non-sectarian,1918
Evangelical Lutheran Church in America,1895,Non-sectarian,1919
Christian Churches/Churches of Christ,1895,Non-sectarian,1919
Christian,1895,Secular,1919
United Church of Christ,1896,Secular,1919
Catholic,1896,Non-sectarian,1919
Christian,1896,Non-sectarian,1919
Christian,1897,Secularism,1919
Methodist,1897,Secular,1920
Christian,1897,Non-sectarian,1920
Methodist,1897,Non-sectarian,1920
Catholic,1898,Non-sectarian,1920
Baptists,1898,Non-sectarian,1920
Christian,1898,Non-sectarian,1920
Methodist,1898,Non-sectarian,1920
Lutheran Church ,1898,Non-sectarian,1921
Churches of Christ,1898,Secularism,1921
Christian,1898,Secular,1922
Christian,1898,Non-sectarian,1922
Christian,1898,Non-sectarian,1922
Christian,1898,Secular,1922
Nondenominational,1898,Non-sectarian,1922
Methodist,1899,Non-sectarian,1922
Methodist,1899,Non-sectarian,1923
United Methodist Church,1899,Non-sectarian,1923
Roman Catholic,1899,Non-sectarian,1923
Jewish,1899,Non-sectarian,1923
Christian,1899,Non-sectarian,1924
Presbyterian Church (USA) and Evangelical Presbyterian Church,1899,Non-sectarian,1924
Christian,1900,Non-sectarian,1925
Roman Catholic (Sisters of the Holy Names of Jesus and Mary),1900,Secular,1925
Catholic,1900,Secular,1926
Nondenominational,1900,Non-sectarian,1926
Catholic,1900,Non-sectarian,1926
Mesthodist,1900,Non-sectarian,1926
Christian,1900,Secular,1926
Presbytarian,1901,Secular,1926
Christian,1901,Non-sectarian,1926
Catholic,1901,Non-sectarian,1926
Evangelical,1901,Non-sectarian,1926
Methodist,1901,Non-sectarian,1927
Jewish,1902,Non-sectarian,1927
Islam,1902,Secular,1927
Christian,1902,Non-sectarian,1927
Catholic,1902,Non-sectarian,1927
Christian,1902,Non-sectarian,1927
Fanciscan,1902,Non-sectarian,1927
Christian,1902,Non-sectarian,1927
"United Church of Christ, United Methodist Church",1902,Non-sectarian,1927
Christian,1903,Non-sectarian,1927
Lutheran,1903,Non-sectarian,1927
Roman Catholic Church,1903,Secular,1928
Christian,1903,Non-sectarian,1928
Christian,1903,Non-sectarian,1928
Catholic,1903,Non-sectarian,1928
Christian,1903,Non-sectarian,1929
Methodist,1904,Secularism,1929
Lutheran,1905,Non-sectarian,1929
Disciples of Christ,1905,Secular,1929
Christians,1905,Non-sectarian,1929
Catholic,1905,Non-sectarian,1929
Jewish,1905,Non-sectarian,1929
Christian,1905,Non-sectarian,1929
Lutheran,1905,Secularism,1929
Christian,1905,Non-sectarian,1930
Assemblies of God,1906,Non-sectarian,1930
Lutheran,1906,Non-sectarian,1930
Presbyterian Church (USA),1906,Secular,1930
Methodist,1906,Non-sectarian,1930
Churches of Christ,1906,Non-sectarian,1931
Jesuit Catholic,1906,Secular,1931
Nondenominational,1906,Secular,1931
Disciples of Christ,1906,Secular,1931
Jesuit,1907,Non-sectarian,1931
Catholic,1907,Non-sectarian,1931
Christian,1907,Non-sectarian,1931
United Church of Christ,1907,Non-sectarian,1931
Independent Baptist,1907,Non-sectarian,1931
Christian,1907,Non-sectarian,1931
Christian,1907,Secularism,1931
A.M.E Church,1908,Secular,1931
Baptist,1908,Non-sectarian,1932
Judsonia Church of Christ ,1908,Non-sectarian,1932
Christian,1908,Secularism,1932
Catholic,1908,Nonsectarian,1932
Christian,1908,Secularism,1932
Christian,1908,Secular,1932
Christian,1909,Non-sectarian,1932
Baptist,1909,Non-sectarian,1933
Catholic,1909,Non-sectarian,1933
Catholic,1909,Non-sectarian,1933
Christian,1909,Non-sectarian,1934
Cumberland Presbyterian,1909,Non-sectarian,1937
Catholic,1909,Secular,1938
Presbytarian,1909,Non-sectarian,1939
"United Church of Christ, United Methodist Church",1909,Non-sectarian,1940
Reformed,1909,Secularism,1940
Christian,1909,Non-sectarian,1941
Christian,1910,Non-sectarian,1941
Baptist,1910,Non-sectarian,1941
Southern Baptist,1910,Non-sectarian,1941
Assemblies of God,1910,Non-sectarian,1941
Catholic,1910,Secular,1941
Quakers,1911,Non-sectarian,1941
Methodist,1911,Non-sectarian,1941
Catholic,1911,Non-sectarian,1941
Christian,1911,Non-sectarian,1941
Christian,1911,Non-sectarian,1942
Christian,1911,Non-sectarian,1942
Christian,1911,Non-sectarian,1943
Congregational Church,1911,Non-sectarian,1943
Christian,1911,Non-sectarian,1944
Lutheran,1911,Non-sectarian,1944
Presbyterian,1911,Non-sectarian,1944
Nondenominational,1911,Non-sectarian,1945
Mormon,1912,Non-sectarian,1945
Christian,1912,Non-sectarian,1945
Jewish,1912,Non-sectarian,1945
Tribal,1912,Non-sectarian,1945
Tribal,1912,Non-sectarian,1945
Tribal,1912,Non-sectarian,1946
Tribal,1912,Secularism,1946
Tribal,1912,Non-sectarian,1946
Tribal,1912,Non-sectarian,1946
Tribal,1912,Secularism,1946
Roman Catholic,1912,Non-sectarian,1946
Methodist,1913,Secularism,1946
Presbyterian Church of the USA,1913,Non-sectarian,1946
United Methodist Church,1913,Non-sectarian,1946
Catholic,1914,Secularism,1946
Christian Reformed Church,1914,Non-sectarian,1946
Methodist,1914,Non-sectarian,1947
Presbyterian Church (USA),1915,Non-sectarian,1947
Church of the Brethren,1915,Non-sectarian,1947
Christian,1915,Non-sectarian,1947
Catholic,1915,Non-sectarian,1947
United Methodist,1915,Secularism,1947
United Methodist Church,1916,Secularism,1947
Jesuit Catholic,1916,Secularism,1947
Christian,1916,Non-sectarian,1947
Christian,1916,Secularism,1948
Episcopalian,1916,Non-sectarian,1948
The New Church,1916,Non-sectarian,1949
Christian,1916,Non-sectarian,1950
National Missionary Baptist Convention of America,1916,Non-sectarian,1950
Jewish,1917,Secular,1950
Christian,1918,Secularism,1950
United Methodist Church,1918,Non-sectarian,1951
Catholic,1919,Secular,1952
Catholic,1919,Non-sectarian,1953
Catholic,1919,Non-sectarian,1953
Catholic,1919,Secularism,1954
Christian,1920,Secular,1954
Catholic,1920,Non-sectarian,1954
Southern Baptist,1920,Non-sectarian,1954
Catholic,1920,Non-sectarian,1954
Methodist,1920,Non-sectarian,1954
Catholic,1920,Non-sectarian,1955
Christian,1920,Secularism,1955
Catholic,1920,Non-sectarian,1955
Presbyterian,1920,Non-sectarian,1956
Catholoic,1921,Non-sectarian,1956
Catholic,1921,Non-sectarian,1956
Jesuit,1921,Non-sectarian,1956
Roman Catholic Church,1921,Non-sectarian,1956
Roman Catholic Church,1921,Non-sectarian,1956
Unificationist,1922,Non-sectarian,1956
Catholic,1922,Non-sectarian,1956
Catholic,1922,Non-sectarian,1956
Christian,1922,Non-sectarian,1956
Christian,1922,Non-sectarian,1956
Christian,1922,Non-sectarian,1956
American Baptist Churches USA,1923,Non-sectarian,1956
United Methodist,1923,Non-sectarian,1957
Christian,1923,Non-sectarian,1957
Catholic,1923,Non-sectarian,1957
Christian ,1923,Non-sectarian,1957
Roman Catholic,1923,Non-sectarian,1957
Baptist Christian,1923,Non-sectarian,1957
Catholic,1923,Non-sectarian,1957
Roman Catholic,1924,Non-sectarian,1957
Presbyterian   ,1924,Non-sectarian,1958
Methodist,1924,Non-sectarian,1958
Presbyterian,1924,Non-sectarian,1958
Brethren,1924,Non-sectarian,1958
Jesuit,1924,Non-sectarian,1958
Jewish,1924,Non-sectarian,1958
Jewish,1924,Non-sectarian,1958
Jewish,1924,Non-sectarian,1959
Jewish,1925,Non-sectarian,1959
Jewish,1925,Non-sectarian,1959
Jewish,1925,Non-sectarian,1959
Jewish,1925,Non-sectarian,1960
Jewish,1925,Non-sectarian,1961
Jewish,1925,Non-sectarian,1961
Lutheran-affiliated,1925,Non-sectarian,1961
Judaism,1925,Non-sectarian,1961
Lutheran Church–Missouri Synod,1925,Non-sectarian,1961
Catholic,1925,Non-sectarian,1961
Methodist,1925,Non-sectarian,1961
Catholic,1925,Non-sectarian,1961
Catholic,1925,Non-sectarian,1962
Catholic,1926,Non-sectarian,1962
Christian,1926,Non-sectarian,1962
Baptist,1926,Non-sectarian,1962
Catholic,1926,Non-sectarian,1963
Catholic,1926,Non-sectarian,1963
Catholic,1926,Non-sectarian,1963
Catholic,1926,Non-sectarian,1963
Christian,1926,Non-sectarian,1963
Roman Catholic Church,1926,Non-sectarian,1963
United Methodist Church,1927,Non-sectarian,1963
Seventh-day Adventist Church,1927,Non-sectarian,1963
Christian,1927,Non-sectarian,1963
Christian Reformed Church,1927,Non-sectarian,1963
Navajo Nation,1927,Non-sectarian,1963
Presbyterian,1927,Non-sectarian,1963
Christian,1927,Non-sectarian,1963
Non-denominational,1927,Non-sectarian,1963
Methodist,1927,Non-sectarian,1963
Navajo Nation,1927,Non-sectarian,1963
Methodist,1928,Non-sectarian,1963
Non-denominational,1928,Non-sectarian,1964
Non-denominational,1928,Non-sectarian,1964
Non-denominational,1928,Non-sectarian,1964
Christian,1928,Non-sectarian,1964
Catholic,1929,Non-sectarian,1964
United Methodist Church,1929,Non-sectarian,1964
Catholic,1929,Non-sectarian,1964
Catholic,1929,Non-sectarian,1964
Christian,1929,Non-sectarian,1965
Christian,1929,Secular,1965
Christian,1929,Non-sectarian,1965
Arkansas Baptist State Convention ,1931,Secular,1965
